cid1_model,cid2_model,textmining
66641,54448,875
66641,88562,713
66641,167331,743
14697,57733,789
48331,158530,844
48331,109918,717
183976,51154,945
183976,132564,809
106091,27440,765
56146,56919,712
76355,39184,731
29747,50496,843
12836,77661,740
109083,129463,819
169709,59053,822
13367,142553,822
86447,54313,765
86447,99191,740
86447,25977,820
36452,13622,842
36452,107118,754
36452,118636,846
80048,65143,820
80048,21229,822
80048,45692,743
105369,14989,742
52292,37306,822
92612,69589,799
92612,143695,813
79312,85140,828
79312,65732,912
79312,178341,877
177986,135190,821
45336,117026,729
168422,139722,764
116199,42516,916
116199,10870,871
77442,45934,713
52201,58077,833
30842,144503,905
55348,43812,768
8636,111216,712
8636,80392,716
104974,15534,821
167352,51456,728
167352,66225,850
167352,93528,750
73216,81401,763
88736,24540,947
47954,68898,837
130256,116293,848
130256,116802,845
130256,119076,947
8002,9545,711
105193,147869,877
127242,72741,858
134892,63138,821
34975,174749,801
34975,155522,748
34975,4439,726
34975,91197,701
34975,176035,977
34975,179109,900
34975,149526,825
34975,116351,845
34975,136497,713
34975,15351,880
34975,136413,818
34975,156362,823
34975,60317,752
34975,14172,830
34975,13787,790
34975,153777,778
30268,42914,718
158572,154086,843
123892,101316,820
82897,49702,728
82897,5288,793
82897,161444,738
82897,4291,853
82897,3524,854
82897,48235,991
178170,4380,887
173588,117321,821
173588,4613,820
173588,121301,821
173588,74581,822
142597,52598,821
110206,43216,847
87862,111967,741
91969,129587,739
83900,43216,741
84457,141050,763
153699,70725,928
83803,64540,717
83803,179652,843
83803,104909,785
83803,133773,733
83803,53285,823
83803,59760,866
181316,150403,740
125982,151426,741
125982,104744,744
112035,101811,729
98729,142432,740
157321,112798,730
157321,111967,819
53879,173379,741
33548,64540,740
33548,69740,718
175347,141514,860
28196,46167,818
28196,94584,816
28196,109416,971
28196,115842,744
28196,88070,848
28196,13202,736
28196,116598,757
28196,135849,959
135849,94584,770
135849,109416,971
135849,103105,794
135849,165316,757
135849,13202,816
135849,28196,959
154257,26341,765
146270,126104,768
146270,73184,877
69736,46442,910
39674,54598,749
102727,154555,764
23521,116722,700
23521,33774,739
23521,169994,911
23521,140374,947
111134,148913,766
111134,105208,820
28359,65548,760
9134,21620,917
61104,145990,859
61104,158167,747
101827,180285,856
101827,2739,739
170263,123867,731
93951,127129,877
93951,99817,877
6824,70670,759
6824,173858,714
6824,114014,730
118712,63285,778
107823,114853,790
107823,169702,713
107823,34774,752
107823,171628,752
107823,53073,762
107823,146047,711
107823,181105,741
107823,49,717
107823,123583,713
149325,75047,829
149325,21990,710
76919,57284,932
74879,86501,720
47285,13464,877
36212,25240,753
182495,165151,786
182495,30619,787
182495,157377,818
47825,100438,966
47825,71907,748
47825,40822,854
143292,83654,757
143292,174584,760
143292,66591,716
25977,54313,822
25977,99191,821
25977,86447,820
85536,172346,713
85536,87798,736
85536,38634,730
85536,173260,742
58356,149685,846
97720,102872,845
57591,62358,770
120018,16698,743
120018,95336,739
64537,169321,769
64537,70997,746
64537,110977,763
64537,117704,821
64537,126020,739
67161,153952,956
67161,149148,947
67161,62853,956
82012,79044,718
4612,15998,737
135085,37576,756
163530,58009,814
163530,107757,880
120970,58009,845
120970,107757,971
120970,35697,817
33977,77340,761
33977,170661,731
103687,170272,715
54824,46738,722
70060,168948,848
85199,83524,740
77413,27320,740
46886,48567,820
83657,119412,785
51315,15419,820
7198,44782,740
7198,118578,770
40576,124150,726
12672,136550,740
128691,131269,739
128691,47148,820
128691,53528,821
47148,128691,820
131136,174165,754
126218,61241,766
168104,153957,741
120295,66342,977
31107,79647,780
74288,161549,715
57829,88513,820
153938,167579,737
51129,25571,712
60966,97864,755
60966,130568,750
60966,104903,821
60966,125977,898
60966,167390,733
60966,149113,817
125977,159153,713
125977,85776,789
125977,60966,898
171113,30585,761
77952,54359,739
17027,104904,746
17027,61050,946
145403,46982,838
145403,175629,739
145403,10710,937
44040,78112,821
5255,28976,890
5255,68181,921
151372,148744,764
151372,57365,762
30505,147018,720
141214,25386,876
172958,121269,912
96309,20022,766
96309,127815,764
114474,123867,753
114474,152421,801
7046,132500,820
51940,96945,822
122502,33182,739
55512,22721,730
55512,21162,822
55512,12522,730
55512,90851,765
55512,118991,742
55512,9485,783
180634,150691,732
59735,71338,748
59735,76753,762
59735,132337,741
22828,156898,971
22828,107992,727
119057,33186,844
112027,38661,737
34475,170017,711
137827,5618,760
112324,53101,721
112324,128033,757
40551,70371,745
64638,88007,739
32689,117149,934
32689,38634,730
48599,151698,806
48599,54554,963
39940,152503,761
155286,92422,820
71333,69931,729
72261,150876,750
156605,78719,877
3444,142285,821
93863,66232,846
4558,124735,895
56799,130533,742
56799,59665,761
3663,22897,739
184065,34832,822
184065,3897,739
184065,129995,739
3897,34832,739
3897,184065,739
49350,136939,739
24366,181365,726
115351,101811,770
90518,155850,820
90518,89291,741
109420,120647,762
25036,52916,741
114062,115566,742
114062,112329,720
114062,100143,745
114488,71581,762
59760,157567,896
59760,174170,798
59760,145990,713
59760,179652,902
59760,104909,763
59760,133773,863
59760,124934,712
59760,106082,713
59760,83803,866
106321,136401,843
106321,88399,756
106321,180446,754
55394,10513,877
99330,90115,780
116802,116293,849
116802,130256,845
162760,181847,869
134567,183035,877
59813,110918,739
59813,113668,741
7893,10554,718
7893,170316,718
136976,36844,740
51303,41140,876
51303,79790,889
51303,143336,890
84762,81540,953
84762,167573,851
84762,150681,728
84762,7571,923
84762,94225,911
84762,76898,728
84762,68976,766
84762,107687,830
84762,141487,898
84762,106176,770
84762,65115,726
84762,120628,794
84762,2734,908
84762,48980,934
84762,60219,890
117720,110629,710
143268,128915,717
148413,62201,755
148413,143551,720
148413,52841,912
216,136259,814
177187,157447,842
177187,48266,836
110052,48955,895
137971,173093,829
42759,83117,861
42759,27557,803
90128,172282,764
90128,184045,817
56869,90306,740
162870,183671,813
54109,184221,740
158454,23741,741
158454,120489,755
158454,168836,739
158454,173460,718
158894,170413,913
149935,154845,765
